,state,month,cases,month_name,fips,new_cases,color,Population,case_rate
240,Missouri,11,309420,November,29,119495.0,r,6137428,1946.9882172141163
268,Nevada,11,150825,November,32,49981.0,b,3080156,1622.677552695383
277,New Hampshire,11,20480,November,33,9396.0,b,1359711,691.0291966454637
231,Mississippi,11,151785,November,28,31625.0,r,2976149,1062.6148085999728
286,New Jersey,11,335943,November,34,96264.0,b,8882190,1083.7867688036397
295,New Mexico,11,95417,November,35,48927.0,b,2096829,2333.3805474838437
222,Minnesota,11,313028,November,27,164502.0,b,5639632,2916.8924497201238
304,New York,11,645932,November,36,133709.0,b,19453561,687.3240328595881
213,Michigan,11,377596,November,26,180432.0,r,9986857,1806.6945386321242
313,North Carolina,11,362124,November,37,87319.0,r,10488084,832.5543540650514
204,Massachusetts,11,224964,November,25,66388.0,b,6892503,963.191455992112
194,Maryland,11,196727,November,24,51134.0,b,6045680,845.7940215161901
322,North Dakota,11,78664,November,38,34743.0,r,762062,4559.077870304516
176,Louisiana,11,232245,November,22,45596.0,r,4648794,980.8135185168454
331,Ohio,11,414432,November,39,198735.0,r,11689100,1700.1736660649663
167,Kentucky,11,180164,November,21,70920.0,r,4467673,1587.4035543783082
158,Kansas,11,155377,November,20,68606.0,r,2913314,2354.912652738428
340,Oklahoma,11,195545,November,40,72783.0,r,3956971,1839.3614711859148
350,Oregon,11,74120,November,41,29197.0,b,4217737,692.2432574624734
359,Pennsylvania,11,361387,November,42,148571.0,r,12801989,1160.5306019244354
149,Iowa,11,228690,November,19,99892.0,r,3155070,3166.078724085361
368,Puerto Rico,11,85317,November,72,19189.0,n,3193694,600.8402808785062
140,Indiana,11,336027,November,18,154190.0,r,6732219,2290.3295332489924
249,Montana,11,61801,November,30,29000.0,r,1068778,2713.3792050360316
131,Illinois,11,721487,November,17,304930.0,b,12671821,2406.362905536623
120,Idaho,11,100758,November,16,35961.0,r,1787065,2012.2939008933643
481,Wyoming,11,32489,November,56,19191.0,r,578759,3315.8879602736197
